SYMBOL,CURRENT PRICE,INDUSTRY,PE,FORWARD PE,EPS,PEG,EPS ESTIMATE,RECOMMENDATION
STMP,175.58,Miscellaneous,52.41,41.94,3.35,.04,3.33,1.68
STCN,0.674,Miscellaneous,NE,,-0.75,N/A,,
TRHC,58,Miscellaneous,NE,NE,-1.72,-5.28,-0.25,1.3
TTGT,29.93,Miscellaneous,53.45,46.12,0.56,2.31,0.62,1.57
JYNT,14.04,Miscellaneous,63.82,359.50,0.22,.36,0.23,1
NCTY,0.65,Miscellaneous,,,,N/A,,
TNET,58.87,Miscellaneous,17.26,19.88,3.41,.02,2.9,1.5
TCOM,26,Miscellaneous,NE,NE,-0.73,-.03,1.16,1.71
TC,1.44,Miscellaneous,NE,,-0.45,N/A,,1
UBER,32.3,Miscellaneous,NE,NE,-7.74,-.01,-6.81,1.27
ULBI,7.33,Miscellaneous,19.81,,0.37,N/A,,
UXIN,1.45,Miscellaneous,NE,NE,-0.93,-.01,,2.25
VVI,19.26,Miscellaneous,14.16,NE,1.36,-.01,2.48,1.67
VHC,6.41,Miscellaneous,,,,N/A,,
V,192.2,Miscellaneous,34.63,38.86,5.55,3.08,5.44,1.38
WTRH,2.235,Miscellaneous,NE,,-3.54,N/A,,1.5
WU,21.61,Miscellaneous,8.71,12.98,2.48,.50,1.73,3.48
WEX,172.67,Miscellaneous,113.6,27.01,1.52,3.37,8.34,2.08
WNS,54.52,Miscellaneous,24.12,36.91,2.26,5.20,2.54,1.17
XELB,1.01,Miscellaneous,NE,4.73,-0.23,.00,0.21,3
Z,62.25,Miscellaneous,NE,,-1.93,N/A,,3.33
ZG,62,Miscellaneous,NE,NE,-1.93,-.03,-1.48,2.3
PIH,4.53,Finance,,,,N/A,,
PIHPP,25.3,Finance,,,,,,
TURN,1.86,Finance,,,,N/A,,
BCOW,9.48,Finance,,,,N/A,,
FCCY,12.84,Finance,8.68,11.28,1.48,.01,1.68,1.67
SRCE,35.71,Finance,10.63,15.43,3.36,.02,3.57,2.33
QFIN,10.85,Finance,5.77,4.51,1.88,.00,2.39,1
JFK,10.2969,Finance,,,,N/A,,
JFKKR,0.28,Finance,,,,,,
JFKKU,11,Finance,,,,,,
JFKKW,0.335,Finance,,,,,,
JFU,8.41,Finance,,,,N/A,,
ABM,38.29,Finance,NE,25.34,-0.37,.03,2.05,2.2
ACAM,10.14,Finance,,,,N/A,,
ACAMU,10.5,Finance,,,,,,
ACAMW,0.75,Finance,,,,,,
ACNB,24.22,Finance,10.13,,2.39,N/A,,
AEFC,23.45,Finance,,,,,,
AEB,23.29,Finance,,,,,,
AEG,2.81,Finance,,,,.73,,3.25
AMG,75.23,Finance,19.05,6.36,3.95,.53,14.22,2.43
MGR,26.52,Finance,,,,,,
AFL,36.6,Finance,9.22,8.55,3.97,2.61,4.44,2.7
AGBA,10.23,Finance,NE,,-0.23,N/A,,
AGBAR,0.2,Finance,,,,,,
AGBAU,10.22,Finance,,,,,,
AGBAW,0.3201,Finance,,,,,,
AGFS,3.27,Finance,NE,NE,-1.07,-.01,-0.28,1
AGFSW,0.024,Finance,,,,,,
ALAC,10.65,Finance,177.5,,0.06,N/A,,
ALACR,0.2528,Finance,,,,,,
ALACU,10.88,Finance,,,,,,
ALACW,0.18,Finance,,,,,,
ALRS,20.01,Finance,11.12,14.59,1.80,.01,1.91,3
Y,483.52,Finance,144.77,,3.34,N/A,,1.67
ABTX,24.47,Finance,11.82,16.74,2.07,.02,2.57,3
AB,26.66,Finance,10.14,11.69,2.63,.76,2.52,2.33
NFJ,11.16,Finance,,,,N/A,,
ALL,98.73,Finance,8.28,9.04,11.93,1.21,10.43,1.71
ALLY,19.21,Finance,7.47,37.58,2.57,.04,3.72,1.71
AAMC,17.46,Finance,NE,,-3.79,N/A,,
ALUS,9.81,Finance,,,,N/A,,
AMBC,13.9,Finance,NE,,-9.85,N/A,,
AMBC,13.9,Finance,NE,,-9.85,N/A,,
AMCI,10.4,Finance,,,,N/A,,
AMCIU,11.0995,Finance,,,,,,
AMCIW,0.72,Finance,,,,,,
AMTB,15.94,Finance,16.43,35.57,0.97,.04,1.24,3
AMTBB,11,Finance,,,,,,
ATAX,4.25,Finance,11.18,,0.38,N/A,,
AEL,23.17,Finance,4.15,4.60,5.58,.00,5.97,2.29
AXP,100.94,Finance,15.32,22.65,6.59,2.17,8.2,1.97
AFG,63.33,Finance,21.84,10.08,2.90,.01,8.62,3
AFGB,26.6,Finance,,,,,,
AFGC,24.93,Finance,,,,,,
AFGD,25.78,Finance,,,,,,
AFGH,25.22,Finance,,,,,,
AIG,31.81,Finance,6.4,10.97,4.97,1.10,4.59,2.18
AMNB,23.57,Finance,11.17,10.29,2.11,.01,3.1,2
ANAT,74.72,Finance,14.18,,5.27,N/A,,
ARL,9.03,Finance,NE,,-0.43,N/A,,
AMRB,10.5,Finance,10.61,10.57,0.99,.01,0.94,1
AVCT,4.08,Finance,,,,,,
AVCTW,0.3199,Finance,,,,,,
AMP,148.35,Finance,5.49,9.03,27.02,.01,16.1,1.33
ABCB,23.83,Finance,10.41,9.28,2.29,.01,3.8,1.33
AMSF,60.82,Finance,13.95,20.04,4.36,.02,4.6,1.8
ASRV,3.15,Finance,9.84,,0.32,N/A,,
ASRVP,28.0334,Finance,,,,,,
ATLO,19.99,Finance,11.11,,1.80,N/A,,
AMHC,9.75,Finance,,,,N/A,,
AMHCU,10,Finance,,,,,,
AMHCW,0.55,Finance,,,,,,
HKIB,6.5,Finance,,,,N/A,,1
ANDA,10.27,Finance,,,,N/A,,
ANDAR,0.2001,Finance,,,,,,
ANDAU,10.75,Finance,,,,,,
ANDAW,0.2999,Finance,,,,,,
AON,186.79,Finance,26.91,19.61,6.94,.02,9.17,1.83
APXT,10.25,Finance,,,,N/A,,
APXTU,10.9,Finance,,,,,,
APXTW,1.6001,Finance,,,,,,
APO,53.08,Finance,NE,29.21,-1.41,1.71,2.71,2.33
ACGL,29.33,Finance,9.4,35.52,3.12,3.55,2.82,1.78
ACGLO,24.89,Finance,,,,,,
ACGLP,24.4,Finance,,,,,,
ARES,39.02,Finance,102.68,23.67,0.38,4.51,1.67,1.5
ARGD,25.05,Finance,,,,,,
ARGO,32.95,Finance,NE,32.38,-3.46,.03,-0.9,2
AHH,9.1,Finance,22.2,8.67,0.41,1.25,1.17,2.67
AROW,28.24,Finance,11.47,12.30,2.46,.01,2.5,3
AJG,94.74,Finance,26.76,24.92,3.54,2.29,3.65,1.73
APAM,32.7,Finance,12.29,13.95,2.66,1.62,2.67,2
ARYBU,10.8,Finance,,,,,,
ARYA,15.46,Finance,,,,-.01,,1
ARYAU,16.5,Finance,,,,,,
ARYAW,4.9,Finance,,,,,,
AMK,27.38,Finance,,,,.07,0.54,2.25
