SYMBOL,CURRENT PRICE,INDUSTRY,PE,FORWARD PE,EPS,PEG,EPS ESTIMATE,RECOMMENDATION
CSWI,67.82,Basic%2bIndustries,22.46,,3.02,N/A,,3
CULP,7.85,Basic%2bIndustries,41.32,13.23,0.19,.01,0.41,1.5
UAN,0.985,Basic%2bIndustries,NE,,-0.43,N/A,,
DNN,0.3438,Basic%2bIndustries,NE,NE,-0.03,-.02,-0.02,2
UFS,22.72,Basic%2bIndustries,227.2,NE,0.10,-.05,3,2.5
DOW,41.65,Basic%2bIndustries,NE,31.26,-2.27,9.39,3.53,2.64
DRD,12.65,Basic%2bIndustries,,,,.03,,1
DD,52.6,Basic%2bIndustries,NE,18.45,-0.85,2.31,3.8,1.4
DY,38.99,Basic%2bIndustries,121.84,20.10,0.32,.02,2.27,1.33
EMN,69.49,Basic%2bIndustries,11.86,11.92,5.86,2.76,7.13,1.33
ECL,199.75,Basic%2bIndustries,37.76,42.76,5.29,4.60,5.82,2.88
EGO,8.61,Basic%2bIndustries,13.25,10.72,0.65,2.14,0.04,2
ESI,10.78,Basic%2bIndustries,35.93,13.43,0.30,2.22,0.88,1.6
EMX,1.95,Basic%2bIndustries,NE,,-0.09,N/A,,
EXK,1.8,Basic%2bIndustries,NE,NE,-0.37,-.03,-0.33,2.2
UUUU,1.58,Basic%2bIndustries,NE,NE,-0.32,-.01,-0.4,1.5
NPO,47.17,Basic%2bIndustries,4,42.42,11.80,3.14,2.68,1.67
EVA,35.73,Basic%2bIndustries,NE,24.41,-0.06,.02,0.6,2
EQX,10.16,Basic%2bIndustries,,,,.02,,1.6
EVGN,1.0001,Basic%2bIndustries,NE,,-0.80,N/A,,
FLRZ,0,Basic%2bIndustries,,,,,,
FOE,11.51,Basic%2bIndustries,115.1,17.45,0.10,1.86,0.83,1.8
AG,8.63,Basic%2bIndustries,NE,76.45,-0.36,.08,0.04,2.2
FSI,1.94,Basic%2bIndustries,11.41,8.95,0.17,.01,0.16,1
FTK,0.9803,Basic%2bIndustries,NE,,-2.19,N/A,,
FLR,13.49,Basic%2bIndustries,NE,10.61,-9.31,.01,999,3.14
FMC,100.46,Basic%2bIndustries,28.14,15.76,3.57,1.48,6.09,1.19
FSM,4.24,Basic%2bIndustries,38.55,42.10,0.11,.04,0.17,2.33
FBHS,61.33,Basic%2bIndustries,18.99,21.57,3.23,.02,3.6,2.08
FNV,131.72,Basic%2bIndustries,137.21,59.10,0.96,14.77,1.82,2.86
FCX,10.5,Basic%2bIndustries,NE,NE,-0.48,-.12,0.02,1.53
FF,11.65,Basic%2bIndustries,5.02,,2.32,N/A,,
GAU,1.165,Basic%2bIndustries,NE,9.17,-0.61,.01,0.01,1.75
GCP,17.51,Basic%2bIndustries,47.32,85.67,0.37,.09,0.81,3
GMO,0.25,Basic%2bIndustries,NE,NE,-0.06,-.01,,1
GEVO,1.15,Basic%2bIndustries,NE,NE,-2.40,.00,-2.39,1
GLT,15.84,Basic%2bIndustries,NE,20.29,-0.43,.02,0.75,1
GFI,8.13,Basic%2bIndustries,,,,.43,,2.33
GORO,3.69,Basic%2bIndustries,123,52.86,0.03,.05,0.09,1
GSV,0.6895,Basic%2bIndustries,NE,NE,-0.02,-.04,,2
AUMN,0.3282,Basic%2bIndustries,NE,NE,-0.07,.00,,1
GSS,2.49,Basic%2bIndustries,NE,20.17,-0.64,.02,,2.5
GV,3.74,Basic%2bIndustries,,,,,,
GRAM,2.25,Basic%2bIndustries,,,,N/A,,
GVA,19.16,Basic%2bIndustries,NE,11.54,-2.26,.01,999,3
GLDD,9.07,Basic%2bIndustries,8.89,8.66,1.02,.01,0.86,1
GPL,0.4208,Basic%2bIndustries,NE,NE,-0.26,.00,-0.19,1.67
GPP,6.94,Basic%2bIndustries,3.94,4.48,1.76,.00,1.76,2
GPRE,10.51,Basic%2bIndustries,NE,NE,-3.79,-.01,-3.71,1.5
SIM,6.34,Basic%2bIndustries,NE,,-0.14,N/A,,
GURE,5.8,Basic%2bIndustries,,,,N/A,,
FUL,42,Basic%2bIndustries,17,17.77,2.47,2.43,2.96,1.86
HMY,3.28,Basic%2bIndustries,,,,.37,,4
HL,2.85,Basic%2bIndustries,NE,NE,-0.19,-276,-0.13,2.83
HL^B,59.79,Basic%2bIndustries,,,,,,
HCCI,17.97,Basic%2bIndustries,26.04,330.60,0.69,22.04,0.92,1.8
HXL,44.37,Basic%2bIndustries,13.74,36.17,3.23,6.41,3.54,3.1
HCR,0.4017,Basic%2bIndustries,NE,NE,-4.10,.00,,5
HBM,2.78,Basic%2bIndustries,NE,NE,-1.56,.00,-0.19,2.6
HUN,18.32,Basic%2bIndustries,3.59,70.35,5.10,5.17,1.53,2.07
HYMC,8.65,Basic%2bIndustries,,,,N/A,,
HYMCW,0.98,Basic%2bIndustries,,,,,,
IAG,3.3,Basic%2bIndustries,NE,19.94,-0.87,6.65,-0.04,2.43
ICL,3.29,Basic%2bIndustries,,,,,,
NGVT,51.5,Basic%2bIndustries,10.55,14.61,4.88,.01,4.93,1.86
IOSP,73.76,Basic%2bIndustries,15.63,,4.72,N/A,,2
IBP,69.65,Basic%2bIndustries,27.75,24.70,2.51,.02,3.29,1.9
IFF,126.09,Basic%2bIndustries,30.17,21.60,4.18,.02,6.17,2.33
IFFT,45.83,Basic%2bIndustries,,,,,,
IP,34.86,Basic%2bIndustries,21,17.90,1.66,.02,4.43,2.93
THM,1.41,Basic%2bIndustries,NE,,-0.03,N/A,,
IPI,1.15,Basic%2bIndustries,,,,-.02,0.1,2.35
J,85.58,Basic%2bIndustries,14.12,17.06,6.06,2.45,5.05,1
JELD,15.87,Basic%2bIndustries,33.77,34.19,0.47,6.23,1.2,3
KBR,24.37,Basic%2bIndustries,60.92,15.48,0.40,1.61,1.69,1
KGC,6.4,Basic%2bIndustries,10.32,12.20,0.62,.01,0.34,2
KL,38.28,Basic%2bIndustries,13.25,12.18,2.89,4.06,2.74,1.2
KOP,19.37,Basic%2bIndustries,7.66,10.76,2.53,.01,3.31,1.4
KRA,15.97,Basic%2bIndustries,2.08,173.44,7.66,.17,2.94,3
KRO,9.78,Basic%2bIndustries,13.58,27.33,0.72,.03,0.75,2
FSTR,12.29,Basic%2bIndustries,3.54,50,3.47,.05,1.62,1
LEGH,13,Basic%2bIndustries,10.4,11.50,1.25,.01,1.18,1.67
LEN,60.18,Basic%2bIndustries,9.06,9.89,6.64,3.20,5.74,1.88
LEN.B,0,Basic%2bIndustries,0,,6.64,N/A,,
LMB,3.76,Basic%2bIndustries,NE,5.42,-0.52,.45,0.27,2
LIN,208.05,Basic%2bIndustries,48.05,28.21,4.33,2.56,7.34,1.47
LAC,4.54,Basic%2bIndustries,10.09,NE,0.45,-.01,-0.22,1
LTHM,7.67,Basic%2bIndustries,34.86,60,0.22,6.25,0.42,3.17
LOOP,9.07,Basic%2bIndustries,NE,NE,-0.39,-.02,-0.38,1
LPX,24.36,Basic%2bIndustries,2436,40.63,0.01,.04,0.37,1.57
LXU,1.12,Basic%2bIndustries,NE,NE,-3.75,.00,-3.06,
LXFR,13.83,Basic%2bIndustries,29.43,17.70,0.47,1.36,1.3,1
LYB,66.54,Basic%2bIndustries,8.53,13.50,7.80,2.00,9.62,2.44
MAG,12.31,Basic%2bIndustries,NE,NE,-0.21,-.10,-0.05,1.27
MBII,1.05,Basic%2bIndustries,NE,NE,-0.33,-.01,-0.21,2
MLM,211.02,Basic%2bIndustries,22.28,24.88,9.47,12.38,9.74,2
DOOR,67.95,Basic%2bIndustries,24.27,27.63,2.80,.03,3.66,1.56
MTZ,44.75,Basic%2bIndustries,8.81,9.45,5.08,.01,5.09,1.22
MTRX,10.055,Basic%2bIndustries,NE,19.70,-0.56,.02,1.01,1
MMX,4.07,Basic%2bIndustries,NE,66.17,-0.06,.07,0.06,1.6
MUX,0.89,Basic%2bIndustries,NE,,-0.39,N/A,-0.17,1
MDU,21.18,Basic%2bIndustries,13.24,13.41,1.60,2.68,,3
MTL,1.84,Basic%2bIndustries,,,,N/A,,1
MERC,8.69,Basic%2bIndustries,NE,NE,-0.98,-.05,-0.08,2.67
MSB,17.42,Basic%2bIndustries,8.54,,2.04,N/A,,
MTA,5.74,Basic%2bIndustries,,,,-.04,999,2.5
MEOH,19.83,Basic%2bIndustries,31.48,NE,0.63,-.01,0.93,2.58
MTX,45.22,Basic%2bIndustries,11.96,11.84,3.78,2.96,4.23,1.75
MOS,12.9,Basic%2bIndustries,NE,654.50,-3.68,93.50,0.19,2.5
MYRG,29.68,Basic%2bIndustries,12.37,12.13,2.40,.01,2.26,2.2
NP,49.99,Basic%2bIndustries,14.16,24.43,3.53,.02,3.47,2
NGD,1.12,Basic%2bIndustries,NE,NE,-0.14,-3.70,-0.08,3.17
NEWA,4.47,Basic%2bIndustries,,,,N/A,,
NEU,408.87,Basic%2bIndustries,16.46,,24.84,N/A,,
NEM,56.92,Basic%2bIndustries,13.15,23.33,4.33,.02,1.32,1.85
NEXA,5.53,Basic%2bIndustries,NE,NE,-4.94,-.27,0.36,3.14
NXE,1.27,Basic%2bIndustries,NE,NE,-0.04,-.02,-0.05,1.67
NL,3.56,Basic%2bIndustries,13.69,,0.26,N/A,,
OSB,21.14,Basic%2bIndustries,NE,35.72,-0.27,.04,-0.37,1.43
NAK,1.47,Basic%2bIndustries,NE,NE,-0.05,-.01,,1
NWPX,24.6,Basic%2bIndustries,9.14,12.07,2.69,.01,2.73,1
NG,8.37,Basic%2bIndustries,NE,NE,-0.08,-.10,-0.09,1
NUE,42.7,Basic%2bIndustries,16.55,26.06,2.58,2.17,4.31,2.13
NTR,35.68,Basic%2bIndustries,22.73,21.68,1.57,2.71,2.17,1.64
OLN,12.88,Basic%2bIndustries,NE,NE,-0.85,-1.53,0.6,2.83
ZEUS,9.81,Basic%2bIndustries,49.05,NE,0.20,-.03,0.11,3
OPNT,8.97,Basic%2bIndustries,4.31,NE,2.08,-.01,0.2,1
OCC,2.77,Basic%2bIndustries,NE,,-0.82,N/A,,
OEC,11.07,Basic%2bIndustries,7.96,16.30,1.39,.02,1.87,2.33
ORN,3.37,Basic%2bIndustries,18.72,16.18,0.18,.02,0,1
OR,9.39,Basic%2bIndustries,NE,42.57,-1.13,2.08,0.21,1.78
OSN,2.98,Basic%2bIndustries,,,,N/A,,
PEIX,0.7838,Basic%2bIndustries,NE,NE,-2.07,.00,-1.4,1
PAAS,26.79,Basic%2bIndustries,178.6,32.84,0.15,13.80,0.78,2.38
PZG,1.1,Basic%2bIndustries,,,,-.01,999,1
PATK,60.02,Basic%2bIndustries,15.51,28.10,3.87,.03,3.85,1.75
PESI,6.38,Basic%2bIndustries,18.23,,0.35,N/A,,
PLG,1.43,Basic%2bIndustries,NE,,-0.25,N/A,,
PLM,0.435,Basic%2bIndustries,NE,,-0.04,N/A,,
POL,24.65,Basic%2bIndustries,3.3,18.65,7.48,1.92,1.69,1.44
PKX,38.42,Basic%2bIndustries,9.83,10.24,3.91,2.05,,1
PPG,103.72,Basic%2bIndustries,21.08,24.12,4.92,2.54,6.22,1.89
PQG,13,Basic%2bIndustries,22.81,19.18,0.57,.02,0.92,2
PLPC,49.92,Basic%2bIndustries,10.11,,4.94,N/A,,
PVG,8.36,Basic%2bIndustries,36.35,11.80,0.23,.01,0.55,2.14
PRIM,17.18,Basic%2bIndustries,11.45,14.28,1.50,.01,1.61,1
PG,118.92,Basic%2bIndustries,67.19,24.05,1.77,3.34,4.52,1.38
KWR,169.98,Basic%2bIndustries,NE,44.53,-0.37,.04,5.83,3
RYAM,2.87,Basic%2bIndustries,NE,NE,-0.59,-.06,-2.16,2.8
RS,95.75,Basic%2bIndustries,11.33,18.43,8.45,2.05,10.34,3
REGI,28.23,Basic%2bIndustries,2.53,7.42,11.17,.01,3.75,1.2
RFP,2.09,Basic%2bIndustries,NE,,-1,N/A,,2
REX,69.78,Basic%2bIndustries,NE,,-0.47,N/A,,
RIO,55.02,Basic%2bIndustries,,,,.01,,2.14
ROG,115.75,Basic%2bIndustries,67.69,25.92,1.71,.03,6.14,1
RGLD,115.01,Basic%2bIndustries,42.75,46.61,2.69,4.66,1.45,2.78
RPM,75.42,Basic%2bIndustries,29.93,25.23,2.52,1.56,2.71,1.92
RYI,5.81,Basic%2bIndustries,3.19,37.25,1.82,.04,1.79,3
SAND,8.5,Basic%2bIndustries,850,68,0.01,.07,0.09,2
SWM,31.35,Basic%2bIndustries,10.74,9.01,2.92,.01,3.55,1
SMG,129.43,Basic%2bIndustries,22.67,22.43,5.71,.02,4.47,2.2
SA,15.63,Basic%2bIndustries,NE,NE,-0.13,-.08,-0.14,1
SEE,31.66,Basic%2bIndustries,14.79,11.72,2.14,2.98,2.82,2.2
SIC,3.7,Basic%2bIndustries,30.83,NE,0.12,-.02,0.27,1
SNES,1.96,Basic%2bIndustries,,,,.00,-7.69,0
SXT,50.41,Basic%2bIndustries,30.55,18.89,1.65,.02,,3
SMED,7.42,Basic%2bIndustries,247.33,707,0.03,30.74,0.01,1
SMTS,1.09,Basic%2bIndustries,36.33,12.63,0.03,.01,0.12,1.5
SVM,4.67,Basic%2bIndustries,23.35,24.11,0.20,.02,0.2,1.5
SILV,8.24,Basic%2bIndustries,NE,NE,-0.32,-.05,-0.5,1.17
SHI,24.8,Basic%2bIndustries,44.29,14.04,0.56,2.78,,3.5
SKY,23.09,Basic%2bIndustries,22.42,36.43,1.03,.04,1.15,2
SND,1.2,Basic%2bIndustries,1.74,NE,0.69,-.02,1.07,3
SQM,26.54,Basic%2bIndustries,28.85,25.95,0.92,2.62,1.06,3.71
XPL,0.3032,Basic%2bIndustries,,,,.00,,1
SCCO,37.8,Basic%2bIndustries,22.24,32.35,1.70,2.51,1.92,3
SSRM,18.91,Basic%2bIndustries,31,12.31,0.61,.01,0.81,2.14
STLD,27.17,Basic%2bIndustries,9.06,15.56,3,1.30,3.1,2.13
SCL,92.47,Basic%2bIndustries,20.37,20.60,4.54,.02,5.12,1.67
SRCL,56.78,Basic%2bIndustries,NE,30.37,-3.61,4.78,2.65,2.4
STRL,10.53,Basic%2bIndustries,7.07,8.90,1.49,.01,0.9,2
SUM,16.19,Basic%2bIndustries,22.8,37.02,0.71,.04,0.94,1.91
SXC,2.9,Basic%2bIndustries,NE,10.44,-1.74,.01,0.29,2
SUZ,7.35,Basic%2bIndustries,NE,,-2.55,N/A,,
SYNL,7.9,Basic%2bIndustries,NE,,-0.37,N/A,,
TANH,1.04,Basic%2bIndustries,,,,N/A,,
TRX,0.805,Basic%2bIndustries,NE,,-0.18,N/A,,
TGB,0.476,Basic%2bIndustries,NE,NE,-0.29,.00,,3
TECK,10,Basic%2bIndustries,NE,18.67,-0.86,4.13,2.22,1.85
TS,13.42,Basic%2bIndustries,NE,NE,-0.27,-17.46,1.26,2
TX,15.88,Basic%2bIndustries,9.45,13.20,1.68,3.91,2.87,1.92
AES,13.34,Basic%2bIndustries,30.32,9.74,0.44,1.35,1.36,1.17
TMST,4.52,Basic%2bIndustries,NE,NE,-2.53,.00,-1.07,3
TWI,1.45,Basic%2bIndustries,NE,NE,-1.28,.00,-0.76,3
BLD,121.96,Basic%2bIndustries,20.39,26.39,5.98,.03,5.49,1.75
TREX,119.15,Basic%2bIndustries,44.63,47.79,2.67,.05,2.47,2.67
TMQ,1.86,Basic%2bIndustries,1.9,3.52,0.98,.00,-0.21,1.4
TSE,22.48,Basic%2bIndustries,51.09,NE,0.44,-.02,3.13,3.45
TROX,7.37,Basic%2bIndustries,NE,20.71,-0.28,.02,0.47,2.5
TRQ,0.7001,Basic%2bIndustries,NE,,-0.09,N/A,,2
TPC,12.12,Basic%2bIndustries,NE,5.92,-7.37,.01,0.7,1
SLCA,3.64,Basic%2bIndustries,NE,NE,-5.20,.00,-0.64,3.19
UFPI,47.675,Basic%2bIndustries,16,19.49,2.98,.02,2.91,1.5
UN,55.75,Basic%2bIndustries,,,,.02,,2.2
UL,57.37,Basic%2bIndustries,,,,.02,,2.5
USLM,80.62,Basic%2bIndustries,17.15,,4.70,N/A,,
X,8.11,Basic%2bIndustries,NE,NE,-6.40,-.20,0.09,3.78
USAP,8.18,Basic%2bIndustries,43.05,NE,0.19,-.01,0.47,2
URG,0.5016,Basic%2bIndustries,NE,,-0.05,N/A,-0.05,1
UEC,0.935,Basic%2bIndustries,,,,-.01,,1
MYT,1.01,Basic%2bIndustries,,,,N/A,,
VALE,10.31,Basic%2bIndustries,257.75,9.02,0.04,.01,1.6,1.35
VHI,9.86,Basic%2bIndustries,5.13,,1.92,N/A,,
VVV,19.5,Basic%2bIndustries,16.25,15.70,1.20,6.11,1.39,2.29
VNTR,1.98,Basic%2bIndustries,NE,NE,-1.54,-.03,0.24,2.73
VRS,11.55,Basic%2bIndustries,3.63,NE,3.18,.00,-0.19,1.5
VGZ,0.9101,Basic%2bIndustries,NE,NE,-0.09,-.01,-0.08,1
VMC,120.05,Basic%2bIndustries,26.04,28.02,4.61,3.11,4.7,1.83
GRA,50.21,Basic%2bIndustries,23.35,17.80,2.15,.02,4.38,1.75
WDFC,191.15,Basic%2bIndustries,49.65,45.92,3.85,.05,4.02,2
WST,216.59,Basic%2bIndustries,62.6,58.91,3.46,6.40,3.24,2.33
WRN,0.8142,Basic%2bIndustries,NE,NE,-0.03,-.03,-0.02,1.33
WLK,54.86,Basic%2bIndustries,14.32,44.11,3.83,18.69,3.26,2.94
WLKP,20.24,Basic%2bIndustries,11.24,10.60,1.80,4.43,,1.5
WWR,2.27,Basic%2bIndustries,NE,,-4.25,N/A,,
WPM,41.92,Basic%2bIndustries,155.26,43.11,0.27,8.62,0.56,2
XIN,2.24,Basic%2bIndustries,14.93,,0.15,N/A,,
AUY,5.03,Basic%2bIndustries,17.34,32.13,0.29,2.89,0.13,2
YTEN,6.57,Basic%2bIndustries,NE,NE,-26.54,.00,,1.67
CTIB,2.38,Basic%2bIndustries,NE,,-2.14,N/A,,
YI,6.86,Health%2bCare,NE,NE,-0.90,-.01,,1
ONEM,35.76,Health%2bCare,,,,-.03,-2.84,1.81
MMM,158.15,Health%2bCare,18.56,20.13,8.52,2.12,9.1,3.36
ETNB,23,Health%2bCare,,,,,,
NMTR,0.5754,Health%2bCare,,,,N/A,,0
ABT,90.68,Health%2bCare,45.57,32.13,1.99,3.75,3.24,1.44
ABBV,96.71,Health%2bCare,17.12,9.13,5.65,2.06,8.94,1.64
ABEO,3.14,Health%2bCare,NE,NE,-1.66,.00,-1.51,1.88
ABMD,257.09,Health%2bCare,58.17,78.93,4.42,4.05,4.74,2.19
ACIU,7.18,Health%2bCare,NE,NE,-0.38,-.01,0.6,1
ACHC,26.46,Health%2bCare,20.67,14.25,1.28,1.99,2.04,2.3
ACAD,52.03,Health%2bCare,NE,NE,-1.58,-.03,-1.6,1.43
ACST,0.73,Health%2bCare,NE,NE,-0.68,.00,-0.71,1.75
XLRN,101.38,Health%2bCare,NE,NE,-2.59,-.03,-2.38,1.06
ARAY,2.28,Health%2bCare,114,NE,0.02,-.03,-0.15,2
ACRX,1.36,Health%2bCare,NE,NE,-0.70,.00,-0.67,1
ACER,3.2,Health%2bCare,NE,NE,-2.61,.00,-2.91,2.2
ACHV,0.4076,Health%2bCare,NE,NE,-1.36,.00,,1
ACRS,1.62,Health%2bCare,NE,NE,-3.37,.00,-2.25,1.4
ACOR,0.8385,Health%2bCare,NE,NE,-4.89,.00,-1.99,3
ATNM,0.3809,Health%2bCare,NE,NE,-0.18,.00,999,1
ADMS,2.81,Health%2bCare,NE,NE,-3.31,.00,-3.8,1.71
ADMP,0.5941,Health%2bCare,NE,NE,-0.51,.00,-0.55,2.33
AHCO,18.11,Health%2bCare,,,,.06,0.3,1.33
ADAP,10.16,Health%2bCare,NE,NE,-1.31,-.01,-1.32,2
ADPT,44.73,Health%2bCare,NE,NE,-1.76,-5.02,-1.01,1
ADCT,41.5,Health%2bCare,,,,-.01,999,1.17
ADXN,9.7269,Health%2bCare,,,,N/A,,
ADUS,94.68,Health%2bCare,,,,2.54,999,1.44
ADIL,1.47,Health%2bCare,,,,N/A,,
ADILW,0.3145,Health%2bCare,,,,,,
ADMA,2.87,Health%2bCare,NE,NE,-0.88,.00,-0.92,1.17
ADRO,2.38,Health%2bCare,NE,NE,-0.82,.00,-1.03,2.5
ADXS,0.6351,Health%2bCare,NE,,-1.40,N/A,,
ADVM,24.63,Health%2bCare,NE,NE,-1.08,-.02,-1.01,1.38
AGLE,10.5,Health%2bCare,NE,NE,-2.43,-.01,-2.45,1.25
AERI,15.6,Health%2bCare,NE,NE,-4.41,.00,-3.4,1.38
ARPO,1.25,Health%2bCare,NE,NE,-0.46,-.02,-0.53,3
AIH,6.58,Health%2bCare,,,,.01,,1
AEZS,0.92,Health%2bCare,NE,,-0.02,N/A,,
AFMD,3.88,Health%2bCare,NE,NE,-0.53,-.01,-0.56,1
AGEN,3.83,Health%2bCare,NE,NE,-1.24,.00,-0.8,1
AGE,0.85,Health%2bCare,NE,,-0.33,N/A,,
AGRX,2.96,Health%2bCare,NE,NE,-0.36,.00,-0.38,1.25
AGIO,48.13,Health%2bCare,NE,NE,-5.87,-.01,-6.86,1.4
AIKI,0.772,Health%2bCare,,,,N/A,,
ALRN,1.22,Health%2bCare,NE,NE,-1.04,.00,-1.2,1
AIMT,18.1,Health%2bCare,NE,NE,-4.44,.00,-3.97,1.75
AKTX,2.05,Health%2bCare,NE,NE,-0.90,.00,-0.93,1
AKCA,15.46,Health%2bCare,NE,NE,-0.30,-.01,0.48,2
AKBA,11.83,Health%2bCare,NE,NE,-2.21,-.01,-1.63,1.5
AKRO,26.76,Health%2bCare,NE,NE,-3.74,-.01,-2.9,1
AKER,3.32,Health%2bCare,,,,N/A,,
ALBO,27.89,Health%2bCare,NE,NE,-5.88,.00,-5.04,1
ALC,60.92,Health%2bCare,NE,61.94,-1.25,7.48,1.89,1.77
ALDX,4.52,Health%2bCare,NE,NE,-1.99,.00,-2.05,1
ALEC,30.58,Health%2bCare,NE,NE,-1.81,-.96,-1.71,1.07
ALXN,119.35,Health%2bCare,11.24,11.70,10.62,.92,9.74,1.78
ALGN,260.91,Health%2bCare,10.94,178.79,23.85,16.63,4.96,1.83
ALIM,7.18,Health%2bCare,NE,NE,-1.81,.00,-2.19,1
ALKS,18.35,Health%2bCare,NE,NE,-0.88,-7.07,0.07,2.8
ALLK,79.71,Health%2bCare,NE,NE,-1.99,-.03,-1.89,2.33
ALNA,1.7,Health%2bCare,NE,NE,-1.89,.00,-2.1,1
AHPI,12.26,Health%2bCare,NE,,-0.73,N/A,,
ALLO,39.9,Health%2bCare,NE,NE,-1.99,-.02,-1.83,1.63
ALNY,150.71,Health%2bCare,NE,NE,-8.03,-.02,-8.11,1.71
APT,16.79,Health%2bCare,31.68,,0.53,N/A,,
ATEC,5.15,Health%2bCare,NE,NE,-1.14,.00,-1.09,1
ALPN,12.1,Health%2bCare,NE,NE,-1.89,-.01,-2.28,1
ATHE,0.616,Health%2bCare,,,,N/A,,
ALT,7.4,Health%2bCare,NE,NE,-1.51,.00,-0.98,1
AMAG,7.31,Health%2bCare,NE,NE,-10.88,-.01,-6.88,3
AMRN,6.91,Health%2bCare,NE,NE,-0.06,-.06,-0.07,1.6
AMED,198.58,Health%2bCare,51.71,41.39,3.84,2.96,4.4,1.58
ARA,5.97,Health%2bCare,,,,-.02,0.26,3
AMS,2.95,Health%2bCare,59,,0.05,N/A,,
ABC,102.15,Health%2bCare,13.44,13.46,7.60,1.89,7.09,2.06
AMGN,238.7,Health%2bCare,18.71,14.80,12.76,1.97,14.82,2.11
FOLD,15.25,Health%2bCare,NE,NE,-1.30,-.01,-1.31,1.22
AMRX,4.83,Health%2bCare,NE,9.34,-1.61,.37,0.27,2.78
AMPH,21.01,Health%2bCare,20.01,40.60,1.05,.04,0.36,2.2
AMPE,0.6142,Health%2bCare,,,,-.01,-0.14,1
ANAB,22.35,Health%2bCare,NE,NE,-3.09,-.01,-3.6,3
AVXL,4.8,Health%2bCare,NE,NE,-0.45,-.01,-0.5,1
ANCN,1.55,Health%2bCare,NE,NE,-1.56,.00,-3.46,3
ANGO,10.05,Health%2bCare,7.79,90.27,1.29,.09,0.83,3
ANIP,29.93,Health%2bCare,NE,7.85,-0.15,.01,4.46,2
ANIK,34.33,Health%2bCare,18.76,63.37,1.83,6.34,2.05,1.67
ANIX,2.4,Health%2bCare,NE,NE,-0.46,.00,-0.59,1
ANVS,4.8,Health%2bCare,,,,N/A,,
ANPC,7.425,Health%2bCare,,,,N/A,,
ATRS,2.9,Health%2bCare,145,143.75,0.02,.14,-0.01,1
ANTM,266.43,Health%2bCare,14.43,11.84,18.47,.81,19.44,1.71
APLS,31.94,Health%2bCare,NE,NE,-6.28,-.47,-4.64,1.4
APEN,1.69,Health%2bCare,NE,NE,-1.63,.00,-1.53,3
AGTC,6.16,Health%2bCare,NE,NE,-2.19,.00,-0.11,1
AMTI,26.99,Health%2bCare,,,,N/A,,
APLT,48.24,Health%2bCare,NE,NE,-3.39,-.02,-3.55,1
APRE,37.9,Health%2bCare,,,,-.01,-4.67,2
APVO,6.08,Health%2bCare,,,,.00,-15.27,1
APTX,4.4,Health%2bCare,NE,NE,-1.55,.00,-1.71,1
APM,4.26,Health%2bCare,,,,N/A,,
APTO,6.74,Health%2bCare,NE,NE,-0.53,-.01,-0.52,1
APYX,4.68,Health%2bCare,NE,NE,-0.48,-.01,-0.58,2
AQST,5.46,Health%2bCare,NE,NE,-2.53,.00,-2.42,1
ARAV,14.52,Health%2bCare,NE,NE,-1.88,-.01,-1.57,1
ABUS,1.91,Health%2bCare,NE,NE,-2.67,.00,-1.62,1.67
ABIO,6.95,Health%2bCare,NE,,-3.42,N/A,,
ARCT,41.23,Health%2bCare,NE,NE,-2.06,-.01,-2.15,1.25
RCUS,26.07,Health%2bCare,NE,NE,-2.16,-.02,-1.93,1
ARQT,33.8,Health%2bCare,,,,-.01,,1
ARDX,6.8,Health%2bCare,NE,NE,-1.31,-.01,-1.47,1
ARNA,63.06,Health%2bCare,NE,NE,-6.46,-.01,7.69,1
ARGX,216.11,Health%2bCare,,,,-.02,-4.73,1.21
ARDS,7.14,Health%2bCare,NE,NE,-3.26,.00,-3.51,1
ARMP,3.97,Health%2bCare,NE,NE,-2.39,.00,-2.55,1
ARWR,36.73,Health%2bCare,408.11,NE,0.09,-.08,0.69,1.38
ARVN,29.88,Health%2bCare,NE,NE,-2.21,-.01,-2.13,1.22
ASND,146.07,Health%2bCare,NE,NE,-5.33,-.02,-5.25,1.07
ASLN,1.92,Health%2bCare,NE,NE,-1.24,.00,-0.74,1
AWH,4.34,Health%2bCare,NE,,-0.17,N/A,,
ASMB,22.41,Health%2bCare,NE,NE,-3.43,-.01,-3.72,1
ASRT,0.8449,Health%2bCare,NE,NE,-2.23,.00,-3.07,1
AZN,53.02,Health%2bCare,89.86,25.94,0.59,1.59,1.75,1.33
ATRA,10.62,Health%2bCare,NE,NE,-5.47,.00,-5.67,1.57
ATNX,13.26,Health%2bCare,NE,NE,-1.41,-.01,-1.67,1.2
ATHX,1.97,Health%2bCare,NE,NE,-0.30,-.01,-0.29,1.5
ATOS,3.18,Health%2bCare,NE,,-1.74,N/A,,1
BCEL,19.95,Health%2bCare,NE,NE,-5.69,-.01,-4.26,1
ATRC,44.56,Health%2bCare,NE,NE,-1.20,-.03,-1.07,1.33
ATRI,660,Health%2bCare,33.93,,19.45,N/A,,
LIFE,4.23,Health%2bCare,NE,NE,-4.56,-.13,-7.03,1.67
AUPH,16.72,Health%2bCare,NE,NE,-1.31,-.02,-0.89,1.14
EARS,0.9651,Health%2bCare,,,,.00,,
AUTL,13.56,Health%2bCare,NE,NE,-2.79,.00,-2.88,1.2
AVDL,9.46,Health%2bCare,NE,NE,-0.56,-.02,-0.89,1
